image_ids,grapheme_root,vowel_diacritics,consonant_diacritics
আলিপুর_001,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_002,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_003,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_004,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_005,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_006,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_007,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_008,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_009,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_010,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_011,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_012,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_013,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_014,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_015,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_016,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_017,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_018,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_019,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_020,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_021,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_022,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_023,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_024,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_025,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_026,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_027,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_028,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_029,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_030,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_031,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_032,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_033,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_034,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_035,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
আলিপুর_036,"[13, 134, 106, 133]","[0, 2, 4, 0]","[0, 0, 0, 0]"
